name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti_800_AC,2007,60000,70000,Petrol,Individual,Manual,First_Owner
Maruti_Wagon_R_LXI_Minor,2007,135000,50000,Petrol,Individual,Manual,First_Owner
Hyundai_Verna_1.6_SX,2012,600000,100000,Diesel,Individual,Manual,First_Owner
Datsun_RediGO_T_Option,2017,250000,46000,Petrol,Individual,Manual,First_Owner
Honda_Amaze_VX_i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second_Owner
Maruti_Alto_LX_BSIII,2007,140000,125000,Petrol,Individual,Manual,First_Owner
Hyundai_Xcent_1.2_Kappa_S,2016,550000,25000,Petrol,Individual,Manual,First_Owner
Tata_Indigo_Grand_Petrol,2014,240000,60000,Petrol,Individual,Manual,Second_Owner
Hyundai_Creta_1.6_VTVT_S,2015,850000,25000,Petrol,Individual,Manual,First_Owner
Maruti_Celerio_Green_VXI,2017,365000,78000,CNG,Individual,Manual,First_Owner
Chevrolet_Sail_1.2_Base,2015,260000,35000,Petrol,Individual,Manual,First_Owner
Tata_Indigo_Grand_Petrol,2014,250000,100000,Petrol,Individual,Manual,First_Owner
Toyota_Corolla_Altis_1.8_VL_CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First_Owner
Maruti_800_AC,2007,60000,70000,Petrol,Individual,Manual,First_Owner
Maruti_Wagon_R_LXI_Minor,2007,135000,50000,Petrol,Individual,Manual,First_Owner
Hyundai_Verna_1.6_SX,2012,600000,100000,Diesel,Individual,Manual,First_Owner
Datsun_RediGO_T_Option,2017,250000,46000,Petrol,Individual,Manual,First_Owner
Honda_Amaze_VX_i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second_Owner
Maruti_Alto_LX_BSIII,2007,140000,125000,Petrol,Individual,Manual,First_Owner
Hyundai_Xcent_1.2_Kappa_S,2016,550000,25000,Petrol,Individual,Manual,First_Owner
Tata_Indigo_Grand_Petrol,2014,240000,60000,Petrol,Individual,Manual,Second_Owner
Hyundai_Creta_1.6_VTVT_S,2015,850000,25000,Petrol,Individual,Manual,First_Owner
Maruti_Celerio_Green_VXI,2017,365000,78000,CNG,Individual,Manual,First_Owner
Chevrolet_Sail_1.2_Base,2015,260000,35000,Petrol,Individual,Manual,First_Owner
Tata_Indigo_Grand_Petrol,2014,250000,100000,Petrol,Individual,Manual,First_Owner
Toyota_Corolla_Altis_1.8_VL_CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First_Owner
Maruti_Ciaz_VXi_Plus,2015,585000,24000,Petrol,Dealer,Manual,First_Owner
Hyundai_Venue_SX_Opt_Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First_Owner
Chevrolet_Enjoy_TCDi_LTZ_7_Seater,2013,390000,33000,Diesel,Individual,Manual,Second_Owner
Jaguar_XF_2.2_Litre_Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First_Owner
Mercedes-Benz_New_C-Class_220_CDI_AT,2013,1425000,59000,Diesel,Dealer,Automatic,First_Owner
Maruti_Vitara_Brezza_ZDi_Plus_AMT,2018,975000,4500,Diesel,Dealer,Automatic,First_Owner
Audi_Q5_2.0_TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First_Owner
Honda_City_V_MT,2018,930000,14500,Petrol,Dealer,Manual,First_Owner
Tata_Tigor_1.2_Revotron_XT,2018,525000,15000,Petrol,Individual,Manual,First_Owner
Audi_A6_2.0_TDI__Design_Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First_Owner
Mercedes-Benz_New_C-Class_C_220_CDI_Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second_Owner
Skoda_Superb_Ambition_2.0_TDI_CR_AT,2011,450000,130400,Diesel,Dealer,Automatic,Second_Owner
Toyota_Corolla_Altis_G_AT,2016,900000,50000,Petrol,Individual,Automatic,First_Owner
Toyota_Innova_2.5_G_(Diesel)_7_Seater,2015,1300000,80000,Diesel,Individual,Manual,First_Owner
Jeep_Compass_1.4_Sport_Plus_BSIV,2019,1400000,10000,Petrol,Individual,Manual,First_Owner
Mercedes-Benz_E-Class_E_200_CGI_Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First_Owner
Hyundai_i10_Magna_1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth_&_Above_Owner
BMW_3_Series_320d_Sport_Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second_Owner
Audi_Q7_35_TDI_Quattro_Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third_Owner
Hyundai_Elantra_CRDi_S,2012,625000,40000,Diesel,Individual,Manual,First_Owner
Mahindra_Scorpio_1.99_S10,2014,1050000,50000,Diesel,Individual,Manual,First_Owner
Honda_City_i_DTEC_V,2014,560000,74000,Diesel,Individual,Manual,Second_Owner
Maruti_Wagon_R_VXI_BS_IV_with_ABS,2014,290000,64000,Petrol,Individual,Manual,Second_Owner
Maruti_Wagon_R_VXI_BS_IV,2012,275000,60000,Petrol,Individual,Manual,Second_Owner
Mahindra_Scorpio_LX,2009,411000,120000,Diesel,Individual,Manual,Second_Owner
Hyundai_Santro_Xing_GLS,2009,150000,79000,Petrol,Individual,Manual,Third_Owner
Hyundai_Grand_i10_1.2_Kappa_Asta,2019,500000,15000,Petrol,Individual,Manual,First_Owner
Maruti_Alto_LXi,2006,100000,80000,Petrol,Individual,Manual,First_Owner
